analysis,state_or_transition,count,share,denominator
certainty_state_distribution,high,249256,0.9791909739818426,
certainty_state_distribution,low,2757,0.010830750374185337,
certainty_state_distribution,medium,2343,0.009204370013317462,
certainty_state_distribution,very_low,197,0.0007739056306545199,
degraded_ratio_total,degraded,5291,0.020785455288289668,254553.0
top_degraded_routes,451,992,0.03126674441327576,31727.0
top_degraded_routes,409,922,0.033324899700003616,27667.0
top_degraded_routes,105,590,0.01581515037795529,37306.0
top_degraded_routes,714,441,0.018548115746971735,23776.0
top_degraded_routes,30,435,0.01406674427629026,30924.0
top_degraded_routes,69,275,0.025397118581455484,10828.0
top_degraded_routes,870,193,0.028656273199703045,6735.0
top_degraded_routes,201,181,0.016561442034952877,10929.0
top_degraded_routes,280,119,0.012802582033351264,9295.0
top_degraded_routes,014,92,0.02618099032441662,3514.0
top_degraded_routes,089,79,0.026064005278785878,3031.0
top_degraded_routes,228,62,0.02328201276755539,2663.0
top_degraded_routes,016,61,0.03283100107642627,1858.0
top_degraded_routes,303,49,0.016604540833615723,2951.0
top_degraded_routes,065,48,0.032809295967190705,1463.0
top_degraded_routes,52,44,0.030747728860936407,1431.0
top_degraded_routes,713,40,0.017497812773403325,2286.0
top_degraded_routes,990L,37,0.05799373040752351,638.0
top_degraded_routes,81,35,0.01805985552115583,1938.0
top_degraded_routes,71,35,0.012522361359570662,2795.0
