route_match_key,complaint_route_label,complaint_count,ghost_bus_count,wrong_eta_count,missing_realtime_count,info_failure_count,physical_failure_count,avg_severity,ghost_bus_percentage,information_failure_percentage,weighted_score
8,8,8,1,0,1,4,7,3.875,12.5,50.0,24.812
60,60,7,3,0,0,5,7,4.0,42.857,71.429,32.0
3,3,6,2,0,0,3,6,4.333,33.333,50.0,24.5
2,2,5,0,2,2,4,4,4.0,0.0,80.0,19.0
32,32,3,0,0,0,0,3,4.667,0.0,0.0,10.0
51,51,3,1,0,0,1,3,4.0,33.333,33.333,14.0
69,69,3,1,0,0,1,3,4.333,33.333,33.333,14.5
80,80,3,0,0,0,0,3,3.333,0.0,0.0,8.0
105,105,2,0,1,0,2,1,4.0,0.0,100.0,12.0
435,435,2,0,1,1,2,2,4.5,0.0,100.0,12.75
490,490,2,2,0,0,2,2,4.0,100.0,100.0,18.0
5,5,2,0,0,0,0,2,3.0,0.0,0.0,6.5
63,63,2,1,0,1,2,1,4.5,50.0,100.0,15.75
719,719,2,1,0,1,2,1,3.0,50.0,100.0,13.5
85,85,2,0,1,0,1,1,3.0,0.0,50.0,8.5
87,87,2,0,0,0,0,2,4.0,0.0,0.0,8.0
870,870,2,1,1,0,2,1,4.5,50.0,100.0,15.75
910,910,2,0,1,0,1,1,3.5,0.0,50.0,9.25
990,990,2,1,0,0,2,2,3.5,50.0,100.0,14.25
14,14,1,0,0,0,0,1,3.0,0.0,0.0,5.5
160,160,1,0,0,0,1,1,5.0,0.0,100.0,10.5
19,19,1,1,0,0,1,1,4.0,100.0,100.0,12.0
19L,19L,1,0,0,0,0,1,4.0,0.0,0.0,7.0
20,20,1,0,0,0,0,1,5.0,0.0,0.0,8.5
223,223,1,0,0,0,1,1,5.0,0.0,100.0,10.5
2721,2721,1,0,1,0,1,1,4.0,0.0,100.0,9.0
301,301,1,0,0,0,0,1,4.0,0.0,0.0,7.0
33,33,1,1,0,0,1,1,4.0,100.0,100.0,12.0
339,339,1,0,0,1,1,0,5.0,0.0,100.0,10.5
342,342,1,0,0,0,0,1,3.0,0.0,0.0,5.5
3L,3L,1,0,0,0,0,1,4.0,0.0,0.0,7.0
40,40,1,0,1,0,1,1,4.0,0.0,100.0,9.0
49,49,1,0,0,1,1,0,3.0,0.0,100.0,7.5
552,552,1,0,0,0,0,1,5.0,0.0,0.0,8.5
558,558,1,0,0,0,1,1,4.0,0.0,100.0,9.0
62,62,1,0,0,0,1,1,5.0,0.0,100.0,10.5
628,628,1,0,0,0,1,1,5.0,0.0,100.0,10.5
64,64,1,0,1,0,1,1,4.0,0.0,100.0,9.0
708,708,1,0,0,0,0,1,4.0,0.0,0.0,7.0
781,781,1,0,0,0,0,1,5.0,0.0,0.0,8.5
791,791,1,1,0,0,1,1,4.0,100.0,100.0,12.0
88,88,1,0,0,0,0,1,5.0,0.0,0.0,8.5
892,892,1,0,0,0,0,1,5.0,0.0,0.0,8.5
905,905,1,1,0,0,1,1,5.0,100.0,100.0,13.5
906,906,1,0,0,0,0,1,4.0,0.0,0.0,7.0
911,911,1,0,0,1,1,1,4.0,0.0,100.0,9.0
916,916,1,1,0,0,1,1,3.0,100.0,100.0,10.5
B1,B1,1,0,0,0,1,1,5.0,0.0,100.0,10.5
C9,C9,1,0,0,0,0,1,3.0,0.0,0.0,5.5
