analysis,scope,count,share,scope_utc
total_fallback_candidates,all,467736,1.0,
temporal_fallback_dependency,1779735600,171487,0.36663203174440284,2026-05-25T19:00:00+00:00
temporal_fallback_dependency,1779775200,130256,0.27848187866659824,2026-05-26T06:00:00+00:00
temporal_fallback_dependency,1779717600,72372,0.15472830827646364,2026-05-25T14:00:00+00:00
temporal_fallback_dependency,1779732000,44712,0.09559238544820155,2026-05-25T18:00:00+00:00
temporal_fallback_dependency,1779739200,33296,0.07118545504301572,2026-05-25T20:00:00+00:00
route_fallback_dependency,105,29138,0.06229582499529649,
route_fallback_dependency,30,25686,0.05491559341166812,
route_fallback_dependency,409,22666,0.04845895975507551,
route_fallback_dependency,451,22037,0.047114184069646126,
route_fallback_dependency,714,20381,0.04357372534934236,
temporal_fallback_dependency,1779721200,15613,0.03337994082131801,2026-05-25T15:00:00+00:00
route_fallback_dependency,628,10228,0.02186703610583748,
route_fallback_dependency,719,9656,0.020644124035780868,
route_fallback_dependency,280,8958,0.01915182923700549,
route_fallback_dependency,201,8744,0.01869430618981648,
route_fallback_dependency,81,8720,0.018642995193870047,
route_fallback_dependency,69,8029,0.01716566610224571,
route_fallback_dependency,87,7382,0.0157824071698565,
route_fallback_dependency,63,6141,0.013129201087793115,
route_fallback_dependency,160,6037,0.012906853438691912,
route_fallback_dependency,301,5998,0.012823473070278962,
route_fallback_dependency,492,5541,0.011846426189132332,
route_fallback_dependency,545,5379,0.01150007696649392,
route_fallback_dependency,83,5367,0.011474421468520703,
route_fallback_dependency,671,5194,0.011104554706073511,
route_fallback_dependency,791,5061,0.010820206270203706,
route_fallback_dependency,495,5000,0.010689790822173192,
route_fallback_dependency,870,4989,0.01066627328236441,
route_fallback_dependency,916,4813,0.010289992645423914,
route_fallback_dependency,70,4556,0.009740537397164212,
route_fallback_dependency,31,4530,0.009684950484888911,
route_fallback_dependency,313,4496,0.009612259907298134,
route_fallback_dependency,548,4389,0.009383498383703628,
route_fallback_dependency,508,4234,0.00905211486821626,
route_fallback_dependency,223,4206,0.008992252039612089,
route_fallback_dependency,075,4198,0.008975148374296612,
route_fallback_dependency,490,4124,0.00881693947012845,
route_fallback_dependency,792,4078,0.008718593394564456,
route_fallback_dependency,23,4055,0.008669420356782458,
route_fallback_dependency,32,3816,0.00815844835548258,
route_fallback_dependency,309,3788,0.00809858552687841,
route_fallback_dependency,71,3768,0.008055826363589718,
route_fallback_dependency,450,3724,0.007961756204354593,
route_fallback_dependency,014,3608,0.007713753057280175,
